Unnamed: 0,년도,클럽명,선수명,출전시간,득점,도움,슈팅,스로인,드리블 시도,키패스,전방 패스 시도,횡패스 시도,공격지역패스 시도,수비지역패스 시도,중앙지역패스 시도,롱패스,숏패스 시도,크로스 시도,경합 지상 시도,경합 공중 시도,태클 시도,클리어링,인터셉트,차단,블락,파울,피파울,Position,Role,Detailed Role
43,2022,경남,이지승,1114,0,0,16,1,0,4,132,256,79,92,338,254,255,17,25,41,32,38,56,27,28,27,7,MF,CAM,Box crasher
44,2022,경남,하남,926,2,0,27,1,10,3,56,48,58,12,79,47,102,9,24,110,18,12,1,14,9,31,16,FW,CF,Finisher
45,2022,경남,티아고93,2930,19,3,98,2,16,21,148,255,200,22,361,191,392,15,62,332,40,22,25,23,38,43,27,FW,CF,Finisher
46,2022,경남,고경민,1704,4,1,35,5,18,13,113,250,164,38,242,191,253,18,55,88,28,11,20,24,19,24,28,FW,CF,Roamer
47,2022,경남,고동민,1737,0,0,0,0,0,0,358,218,0,571,5,476,100,0,1,0,1,30,66,1,4,1,2,GK,GK,Goalkeeper
48,2022,광주,이으뜸,2099,2,9,13,165,19,34,351,258,323,134,403,337,523,145,33,80,38,73,53,26,46,23,33,DF,FB,Safety
49,2022,광주,이건희,756,6,1,28,0,5,8,57,107,103,8,121,70,162,4,41,89,7,8,2,6,6,9,23,FW,CF,Target
50,2022,광주,김승우,313,0,0,0,2,1,0,60,42,6,28,103,62,75,2,5,24,5,28,12,10,10,2,3,MF,CAM,Box crasher
51,2022,광주,이민기93,1613,1,1,11,159,16,11,286,284,235,119,382,324,412,61,48,52,27,50,55,43,35,20,17,DF,FB,Safety
52,2022,광주,이상기,1628,1,1,9,156,14,16,220,240,218,119,304,252,389,75,26,60,33,58,39,27,45,28,21,DF,FB,Safety
53,2022,광주,이순민,2609,2,0,31,17,17,10,571,929,218,278,1306,996,806,24,60,145,78,102,118,65,87,38,54,MF,CAM,Creator
54,2022,광주,정호연,2709,1,4,21,2,22,21,570,921,376,224,1220,913,907,20,47,89,84,56,74,58,58,68,68,MF,CAM,Creator
55,2022,광주,이준,480,0,0,0,0,0,0,81,34,0,114,1,104,11,0,0,0,0,7,19,0,0,0,0,GK,GK,Goalkeeper
56,2022,광주,하승운,1185,2,4,17,5,6,24,76,188,177,30,216,149,274,30,44,35,25,2,9,9,12,18,18,FW,WF,Wide Threat
57,2022,광주,김종우,974,3,1,15,3,14,13,188,296,137,56,446,278,361,27,39,26,31,14,25,34,22,12,25,MF,CDM,Distributor
58,2022,광주,김재봉,2432,0,0,7,3,4,4,633,637,26,548,761,743,592,4,48,168,33,173,116,54,55,29,13,DF,CB,Aggressor
59,2022,광주,이희균,955,0,0,11,2,12,6,184,314,136,84,430,317,333,10,26,25,44,14,35,20,19,19,14,MF,CAM,Creator
60,2022,광주,김현훈,1848,0,0,3,0,1,3,369,307,58,236,491,349,436,10,75,141,33,120,66,44,57,21,11,DF,CB,Spreader
61,2022,광주,마이키,1181,4,3,31,2,10,13,104,166,175,25,199,140,259,25,44,78,18,9,20,10,19,14,20,FW,WF,Wide Threat
62,2022,광주,두현석,2414,4,2,26,256,31,29,418,462,429,204,574,482,725,130,35,52,59,66,67,32,36,26,18,DF,FB,Safety
63,2022,광주,허율,1384,6,4,40,0,16,7,79,156,141,18,159,104,214,9,84,164,8,20,7,8,16,36,20,FW,CF,Roamer
64,2022,광주,산드로,1357,7,4,45,0,5,18,73,216,164,19,248,172,259,6,65,116,15,9,4,7,21,39,33,FW,CF,Roamer
65,2022,광주,박한빈,3104,3,6,37,4,18,17,653,950,150,473,1182,951,854,10,49,66,70,88,146,59,44,33,29,MF,CAM,Creator
66,2022,광주,헤이스,3203,12,4,73,11,61,51,317,554,536,42,664,488,754,178,144,168,82,29,26,50,60,53,103,FW,WF,Unlocker
67,2022,광주,아론,1541,3,1,17,16,6,4,226,380,129,174,388,346,345,23,42,107,23,113,65,38,48,18,2,DF,CB,Spreader
68,2022,광주,엄지성,2067,9,1,68,41,37,16,182,270,276,31,334,259,382,44,68,134,40,18,26,37,58,28,49,FW,WF,Wide Threat
69,2022,광주,안영규,3201,1,1,14,9,4,6,741,749,135,418,1144,843,854,13,60,237,47,294,168,67,112,29,17,DF,CB,Spreader
